Companies with dual-class share structures (last updated 19-Aug-2025),,,
Company Name,Primary Ticker,Unequal Voting Structure,IPO 
1-800-FLOWERS.COM,FLWS,Class A: 1 vote per share,1999
,,Class B: 10 votes per share,
Aflac,AFL,Time-phased voting:,1974
,,"1 vote per share until stock held for 4 years, then 10 votes per share",
Aligos Therapeutics,ALGS,"Voting common: 1
Non-voting common: no votes",2020
Alumis Inc.,ALMS,"Voting: 1 vote
Non-voting: 0 votes",2024
Amerant Bancorp Inc.,AMTB,"Class A voting: 1
Class A non-voting: 0",2018
AMC Entertainment Holdings,AMC,Class A: 1,2013
,,Class B: 3,
AMC Networks,AMCX,Class A: 1; elects 25% of board,2011
,,Class B: 10; elects 75% of board,
American Software,AMSWA,Class A: 1/10; elects 25% of board,1983
,,Class B: 1; elects 75% of board,
Apogee Therapeutics,APGE,"Voting: 1 vote
Non-voting: 0 votes",2023
BBX Capital,BBX,Class A: 1; controls 22% of vote,1997
,,Class B: Formula (last received 16.2 votes per share); controls 78% of vote,
Beachbody Co,BODY,"Class A: 1
Class X: 10
Class C: 0",2021
Beasley Broadcast Group,BBGI,Class A: 1 vote; elects 25% of board,2000
,,Class B: 10 votes; elects 75% of board,
Bloom Energy,BE,Class A: 1,2018
,,Class B: 10,
,,Sunsets in 2023,
Brady,BRC,Class A Nonvoting: no votes,1984
,,Class B Voting: 1,
"Braze, Inc.",BRZE,"Class A: 1
Class B: 10",2021
Bridge Investment Group Holdings Inc.,BRDG,"Class A:1 
Class B: 10 ",2021
"Brilliant Earth Group, Inc.",BRLT,"Class A: 1
Class B: 1
Class C: 10
Class D: 10",2021
Brown-Forman,BF.B,Class A: 1,1978
,,Class B: no votes,
BuzzFeed,BZFD,"Class A: 1
Class B: 50
Class C: 0",2021
Cal-Maine Foods,CALM,Common: 1,1996
,,Class A Common: 10 ,
CarGurus,CARG,Class A: 1,2017
,,Class B: 10,
Carlisle Companies,CSL,Time-phased voting:,1960
,,"1 vote per share until stock held for 4 years, then 5  votes per share",
Central Garden & Pet Company,CENTA,Common: 1,2007
,,Class B Common: 10,
,,Class A Common: no votes,
Century Bancorp,CNBKA,Class A: no votes,1987
,,Class B: 1,
Charter Communications,CHTR,Class A: 1,2009
,,Class B: formula (last received 7.21 votes per share),
Chewy ,CHWY ,Class A: 1 ,2019
,,Class B: 10 ,
"Chime Financial, Inc.",CHYM,"Class A: 1
Class B: 20",2025
"Circle Internet Group, Inc.",CRCL,"Class A: 1 
Class B: 5 
Class C: 0",2025
"Circut, Inc.",CRCT,"Class A: 1
Class B: 5",2021
Clear Channel Outdoor Holdings,CCO,Class A: 1,2005
,,Class B: 20 ,
Clearway Energy,CWENA,Class A + C: 1,2013
,,Class B + D: 1.42 ,
Comcast,CMCSA,Class A: formula based (last received 0.1173  votes per share),1972
,,Class B: 15 ,
CommerceHub,CHUBA,Series A: 1,2016
,,Series B: 10 ,
,,,
,,Series C: No voting unless deleware law requires ( 1/100th) ,
Crawford & Company,CRD.A,Class A: no votes,1978
,,Class B: 1,
Crowdstrike Holdings ,CRWD ,Class A: 1 ,2019
,,Class B: 10 ,
C3.ai,AI,"Class A: 1
Class B: 50",2020
Datadog ,DDOG ,Class A: 1 ,2022
,,Class B: 10 ,
"Dave, Inc.",DAVE,"Class A: 1
Class V: 10",2022
Dell Technologies,DVMT,Class A: 10,2016
,,Class B: 10,
,,Class C: 1,
,,Class V: 1,
Dick's Sporting Goods,DKS,Common: 1,2002
,,Class B Common: 10 ,
